time,market_demand_growth,semiconductor_shortage,geopolitical_tension,carbon_price,construction_costs,total_market_revenue,total_market_costs
0.0,0.2964857406347769,0.38,0.3,78.14787304850655,1000.2500000000001,862500000.0,345000000.0
1.0,0.3577773384206338,0.36,0.3,79.59546249303624,1000.5000625000002,862500000.0,345000000.0
2.0,0.3939061539283175,0.33999999999999997,0.3,77.76217205299189,1000.7501875156253,862500000.0,345000000.0
3.0,0.2614597154049108,0.31999999999999995,0.3,79.68977893054169,1001.0003750625043,862500000.0,345000000.0
4.0,0.36780307487676567,0.29999999999999993,0.3,86.32842559244686,1001.25062515627,862500000.0,345000000.0
5.0,0.34821049458266873,0.2799999999999999,0.3,84.78759737163008,1001.5009378125591,862500000.0,345000000.0
6.0,0.36488138776639495,0.2599999999999999,0.3,86.30991176921205,1001.7513130470123,862500000.0,345000000.0
7.0,0.37427956310820953,0.2399999999999999,0.3,79.91758068039125,1002.0017508752742,862500000.0,345000000.0
8.0,0.3124802219141112,0.21999999999999992,0.3,77.06185168279961,1002.252251312993,862500000.0,345000000.0
9.0,0.3583827412833085,0.19999999999999993,0.3,66.5490430536617,1002.5028143758213,862500000.0,345000000.0
10.0,0.39827552267800465,0.17999999999999994,0.3,67.41009577061041,1002.7534400794153,862500000.0,345000000.0
11.0,0.2798930959327633,0.15999999999999995,0.37668631252994067,68.56510458083268,1003.0041284394352,862500000.0,345000000.0
